date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2023-07-20,FY24,2023-07,Jul,2023Q3,2023-W29,Thursday,0
2023-07-21,FY24,2023-07,Jul,2023Q3,2023-W29,Friday,0
2023-07-22,FY24,2023-07,Jul,2023Q3,2023-W29,Saturday,0
2023-07-23,FY24,2023-07,Jul,2023Q3,2023-W30,Sunday,0
2023-07-24,FY24,2023-07,Jul,2023Q3,2023-W30,Monday,0
2023-07-25,FY24,2023-07,Jul,2023Q3,2023-W30,Tuesday,0
2023-07-26,FY24,2023-07,Jul,2023Q3,2023-W30,Wednesday,0
2023-07-27,FY24,2023-07,Jul,2023Q3,2023-W30,Thursday,0
2023-07-28,FY24,2023-07,Jul,2023Q3,2023-W30,Friday,0
2023-07-29,FY24,2023-07,Jul,2023Q3,2023-W30,Saturday,0
2023-07-30,FY24,2023-07,Jul,2023Q3,2023-W31,Sunday,0
2023-07-31,FY24,2023-07,Jul,2023Q3,2023-W31,Monday,0
2023-08-01,FY24,2023-08,Aug,2023Q3,2023-W31,Tuesday,0
2023-08-02,FY24,2023-08,Aug,2023Q3,2023-W31,Wednesday,0
2023-08-03,FY24,2023-08,Aug,2023Q3,2023-W31,Thursday,0
2023-08-04,FY24,2023-08,Aug,2023Q3,2023-W31,Friday,0
2023-08-05,FY24,2023-08,Aug,2023Q3,2023-W31,Saturday,0
2023-08-06,FY24,2023-08,Aug,2023Q3,2023-W32,Sunday,0
2023-08-07,FY24,2023-08,Aug,2023Q3,2023-W32,Monday,0
2023-08-08,FY24,2023-08,Aug,2023Q3,2023-W32,Tuesday,0
2023-08-09,FY24,2023-08,Aug,2023Q3,2023-W32,Wednesday,0
2023-08-10,FY24,2023-08,Aug,2023Q3,2023-W32,Thursday,0
2023-08-11,FY24,2023-08,Aug,2023Q3,2023-W32,Friday,0
2023-08-12,FY24,2023-08,Aug,2023Q3,2023-W32,Saturday,0
2023-08-13,FY24,2023-08,Aug,2023Q3,2023-W33,Sunday,0
2023-08-14,FY24,2023-08,Aug,2023Q3,2023-W33,Monday,0
2023-08-15,FY24,2023-08,Aug,2023Q3,2023-W33,Tuesday,0
2023-08-16,FY24,2023-08,Aug,2023Q3,2023-W33,Wednesday,0
2023-08-17,FY24,2023-08,Aug,2023Q3,2023-W33,Thursday,0
2023-08-18,FY24,2023-08,Aug,2023Q3,2023-W33,Friday,0
2023-08-19,FY24,2023-08,Aug,2023Q3,2023-W33,Saturday,0
2023-08-20,FY24,2023-08,Aug,2023Q3,2023-W34,Sunday,0
2023-08-21,FY24,2023-08,Aug,2023Q3,2023-W34,Monday,0
2023-08-22,FY24,2023-08,Aug,2023Q3,2023-W34,Tuesday,0
2023-08-23,FY24,2023-08,Aug,2023Q3,2023-W34,Wednesday,0
2023-08-24,FY24,2023-08,Aug,2023Q3,2023-W34,Thursday,0
2023-08-25,FY24,2023-08,Aug,2023Q3,2023-W34,Friday,0
2023-08-26,FY24,2023-08,Aug,2023Q3,2023-W34,Saturday,0
2023-08-27,FY24,2023-08,Aug,2023Q3,2023-W35,Sunday,0
2023-08-28,FY24,2023-08,Aug,2023Q3,2023-W35,Monday,0
2023-08-29,FY24,2023-08,Aug,2023Q3,2023-W35,Tuesday,0
2023-08-30,FY24,2023-08,Aug,2023Q3,2023-W35,Wednesday,0
2023-08-31,FY24,2023-08,Aug,2023Q3,2023-W35,Thursday,0
2023-09-01,FY24,2023-09,Sep,2023Q3,2023-W35,Friday,0
2023-09-02,FY24,2023-09,Sep,2023Q3,2023-W35,Saturday,0
2023-09-03,FY24,2023-09,Sep,2023Q3,2023-W36,Sunday,0
2023-09-04,FY24,2023-09,Sep,2023Q3,2023-W36,Monday,0
2023-09-05,FY24,2023-09,Sep,2023Q3,2023-W36,Tuesday,0
2023-09-06,FY24,2023-09,Sep,2023Q3,2023-W36,Wednesday,0
2023-09-07,FY24,2023-09,Sep,2023Q3,2023-W36,Thursday,0
2023-09-08,FY24,2023-09,Sep,2023Q3,2023-W36,Friday,0
2023-09-09,FY24,2023-09,Sep,2023Q3,2023-W36,Saturday,0
2023-09-10,FY24,2023-09,Sep,2023Q3,2023-W37,Sunday,0
2023-09-11,FY24,2023-09,Sep,2023Q3,2023-W37,Monday,0
2023-09-12,FY24,2023-09,Sep,2023Q3,2023-W37,Tuesday,0
2023-09-13,FY24,2023-09,Sep,2023Q3,2023-W37,Wednesday,0
2023-09-14,FY24,2023-09,Sep,2023Q3,2023-W37,Thursday,0
2023-09-15,FY24,2023-09,Sep,2023Q3,2023-W37,Friday,0
2023-09-16,FY24,2023-09,Sep,2023Q3,2023-W37,Saturday,0
2023-09-17,FY24,2023-09,Sep,2023Q3,2023-W38,Sunday,0
2023-09-18,FY24,2023-09,Sep,2023Q3,2023-W38,Monday,0
2023-09-19,FY24,2023-09,Sep,2023Q3,2023-W38,Tuesday,0
2023-09-20,FY24,2023-09,Sep,2023Q3,2023-W38,Wednesday,0
2023-09-21,FY24,2023-09,Sep,2023Q3,2023-W38,Thursday,0
2023-09-22,FY24,2023-09,Sep,2023Q3,2023-W38,Friday,0
2023-09-23,FY24,2023-09,Sep,2023Q3,2023-W38,Saturday,0
2023-09-24,FY24,2023-09,Sep,2023Q3,2023-W39,Sunday,0
2023-09-25,FY24,2023-09,Sep,2023Q3,2023-W39,Monday,0
2023-09-26,FY24,2023-09,Sep,2023Q3,2023-W39,Tuesday,0
2023-09-27,FY24,2023-09,Sep,2023Q3,2023-W39,Wednesday,0
2023-09-28,FY24,2023-09,Sep,2023Q3,2023-W39,Thursday,0
2023-09-29,FY24,2023-09,Sep,2023Q3,2023-W39,Friday,0
2023-09-30,FY24,2023-09,Sep,2023Q3,2023-W39,Saturday,0
2023-10-01,FY24,2023-10,Oct,2023Q4,2023-W40,Sunday,1
2023-10-02,FY24,2023-10,Oct,2023Q4,2023-W40,Monday,1
2023-10-03,FY24,2023-10,Oct,2023Q4,2023-W40,Tuesday,1
2023-10-04,FY24,2023-10,Oct,2023Q4,2023-W40,Wednesday,1
2023-10-05,FY24,2023-10,Oct,2023Q4,2023-W40,Thursday,1
2023-10-06,FY24,2023-10,Oct,2023Q4,2023-W40,Friday,1
2023-10-07,FY24,2023-10,Oct,2023Q4,2023-W40,Saturday,1
2023-10-08,FY24,2023-10,Oct,2023Q4,2023-W41,Sunday,1
2023-10-09,FY24,2023-10,Oct,2023Q4,2023-W41,Monday,1
2023-10-10,FY24,2023-10,Oct,2023Q4,2023-W41,Tuesday,1
2023-10-11,FY24,2023-10,Oct,2023Q4,2023-W41,Wednesday,1
